Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-04-09 09:26:28.7225;1635;582f54678fd7924a92437193df810956;anonymous;0.6429;ReceivingData
Sample;2021-04-09 09:26:28.7305;1636;582f54678fd7924a92437193df810956;anonymous;0.6355;ReceivingData
Sample;2021-04-09 09:26:28.8930;1658;582f54678fd7924a92437193df810956;anonymous;0.6685;ReceivingData
Sample;2021-04-09 09:26:28.9020;1659;582f54678fd7924a92437193df810956;anonymous;0.6583;ReceivingData
Sample;2021-04-09 09:26:28.9558;1666;582f54678fd7924a92437193df810956;anonymous;0.6571;ReceivingData
Sample;2021-04-09 09:26:28.9618;1667;582f54678fd7924a92437193df810956;anonymous;0.6294;ReceivingData
Sample;2021-04-09 09:26:28.9708;1668;582f54678fd7924a92437193df810956;anonymous;0.6079;ReceivingData
Sample;2021-04-09 09:26:29.0924;1684;582f54678fd7924a92437193df810956;anonymous;0.6269;ReceivingData
Sample;2021-04-09 09:26:29.0994;1685;582f54678fd7924a92437193df810956;anonymous;0.6039;ReceivingData
Sample;2021-04-09 09:26:29.2058;1699;582f54678fd7924a92437193df810956;anonymous;0.6018;ReceivingData
Sample;2021-04-09 09:26:29.2108;1700;582f54678fd7924a92437193df810956;anonymous;0.6498;ReceivingData
Sample;2021-04-09 09:26:29.3464;1716;582f54678fd7924a92437193df810956;anonymous;0.6855;ReceivingData
Sample;2021-04-09 09:26:29.3524;1717;582f54678fd7924a92437193df810956;anonymous;0.7368;ReceivingData
Sample;2021-04-09 09:26:29.4697;1732;582f54678fd7924a92437193df810956;anonymous;0.6798;ReceivingData
Sample;2021-04-09 09:26:29.4776;1733;582f54678fd7924a92437193df810956;anonymous;0.6989;ReceivingData
Sample;2021-04-09 09:26:29.6204;1750;582f54678fd7924a92437193df810956;anonymous;0.6893;ReceivingData
Sample;2021-04-09 09:26:29.6274;1751;582f54678fd7924a92437193df810956;anonymous;0.6069;ReceivingData
Sample;2021-04-09 09:26:29.7298;1764;582f54678fd7924a92437193df810956;anonymous;0.6509;ReceivingData
Sample;2021-04-09 09:26:29.7398;1765;582f54678fd7924a92437193df810956;anonymous;0.6323;ReceivingData
Sample;2021-04-09 09:26:29.8491;1778;582f54678fd7924a92437193df810956;anonymous;0.6899;ReceivingData
Sample;2021-04-09 09:26:29.8569;1779;582f54678fd7924a92437193df810956;anonymous;0.7148;ReceivingData
Sample;2021-04-09 09:26:29.8658;1780;582f54678fd7924a92437193df810956;anonymous;0.7101;ReceivingData
Sample;2021-04-09 09:26:29.9800;1795;582f54678fd7924a92437193df810956;anonymous;0.6992;ReceivingData
Sample;2021-04-09 09:26:29.9890;1796;582f54678fd7924a92437193df810956;anonymous;0.7068;ReceivingData
Sample;2021-04-09 09:26:30.1307;1813;582f54678fd7924a92437193df810956;anonymous;0.7152;ReceivingData
Sample;2021-04-09 09:26:30.1366;1814;582f54678fd7924a92437193df810956;anonymous;0.7522;ReceivingData
Sample;2021-04-09 09:26:30.2314;1826;582f54678fd7924a92437193df810956;anonymous;0.7351;ReceivingData
